query大小 | 时间 | 测试集编号 ,0,1,2,3,4,5,6,7,8,9,avg
19 28,1.968,1.904,1.878,2.011,1.909,2.185,1.884,1.849,2.122,2.033,1.9743
19 38,2.37,2.34,2.388,2.247,2.46,2.608,2.277,2.18,2.208,2.324,2.3402
19 47,2.611,2.314,2.567,2.219,2.589,2.269,2.315,2.62,2.344,2.442,2.429
19 57,1.603,1.551,1.512,1.609,1.751,1.577,1.534,1.669,1.42,1.568,1.5794
20 20,0.958,1.239,1.109,1.218,1.224,1.022,1.182,1.153,1.164,1.155,1.1424
20 30,1.777,1.797,2.046,1.972,1.939,1.828,1.734,2.045,1.872,2.066,1.9076
20 40,1.833,1.83,2.116,1.947,1.809,2.106,1.811,2.098,1.827,2.062,1.9439
20 50,2.32,2.421,2.627,2.677,2.708,2.943,2.549,2.873,2.515,2.97,2.6603
20 60,2.015,2.039,1.99,2.06,2.137,2.066,2.412,2.128,2.273,2.079,2.1199
4 10,0.321,0.265,0.286,0.286,0.351,0.286,0.396,0.286,0.329,0.267,0.3073
4 12,0.31,0.289,0.299,0.286,0.302,0.292,0.296,0.293,0.285,0.284,0.2936
4 4,0.232,0.287,0.234,0.257,0.229,0.355,0.229,0.257,0.292,0.248,0.262
4 6,0.179,0.202,0.178,0.176,0.176,0.18,0.172,0.17,0.199,0.174,0.1806
4 8,0.241,0.173,0.299,0.173,0.239,0.191,0.175,0.171,0.176,0.242,0.208
5 10,0.335,0.278,0.32,0.314,0.338,0.45,0.367,0.337,0.36,0.336,0.3435
5 12,0.269,0.354,0.253,0.297,0.443,0.338,0.345,0.286,0.297,0.389,0.3271
5 15,0.349,0.382,0.401,0.387,0.409,0.369,0.36,0.397,0.464,0.377,0.3895
5 5,0.418,0.479,0.443,0.532,0.405,0.398,0.425,0.492,0.37,0.394,0.4356
5 7,0.376,0.29,0.35,0.306,0.303,0.292,0.299,0.288,0.277,0.321,0.3102
6 12,0.413,0.275,0.283,0.278,0.309,0.304,0.306,0.306,0.324,0.403,0.3201
6 15,0.633,0.6,0.571,0.624,0.566,0.634,0.787,0.648,0.629,0.601,0.6293
6 18,0.526,0.554,0.449,0.461,0.475,0.445,0.457,0.582,0.513,0.469,0.4931
6 6,0.453,0.489,0.422,0.484,0.441,0.444,0.468,0.473,0.501,0.583,0.4758
6 9,0.404,0.406,0.516,0.461,0.463,0.425,0.403,0.411,0.468,0.554,0.4511
7 10,0.431,0.586,0.528,0.519,0.493,0.575,0.586,0.503,0.526,0.514,0.5261
7 14,0.922,0.73,0.747,0.929,0.747,0.81,0.807,0.793,0.859,0.735,0.8079
7 17,0.454,0.533,0.424,0.539,0.471,0.548,0.456,0.51,0.383,0.436,0.4754
7 21,0.681,0.791,0.711,0.808,0.7,0.837,0.703,0.649,0.767,0.73,0.7377
7 7,0.66,0.605,0.597,0.572,0.614,0.741,0.623,0.651,0.618,0.555,0.6236
8 12,1.01,1.137,1.015,1.237,0.983,1.014,1.07,1.16,0.997,1.146,1.0769
8 16,0.805,0.814,0.856,0.822,0.772,0.609,0.799,0.828,0.83,0.63,0.7765
8 20,0.714,0.681,0.654,0.762,0.633,0.654,0.637,0.796,0.644,0.66,0.6835
8 24,0.746,0.868,0.784,0.846,0.859,0.82,0.851,0.739,0.809,0.947,0.8269
8 8,0.621,0.65,0.591,0.564,0.541,0.568,0.546,0.574,0.551,0.563,0.5769
9 13,1.025,0.947,1.045,1.055,0.96,1.05,1.009,0.945,0.973,1.112,1.0121
9 18,0.905,0.939,0.906,0.906,0.958,0.862,0.935,0.982,0.965,0.95,0.9308
9 22,1.014,0.954,0.803,0.916,0.915,0.954,0.873,0.884,0.894,0.793,0.9
9 27,1.116,1.004,1.084,1.196,1.038,1.01,1.034,1.007,1.184,1.03,1.0703
9 9,0.678,0.612,0.809,0.696,0.768,0.767,0.781,0.71,0.8,0.8,0.7421
